Population	SuperPopulation	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
MGRB	MGRB	-1.53479e-01	-2.00920e-02	2.51975e-02	1.67726e-02	-1.72484e-03	-1.27033e-03	-2.07030e-02	1.24788e-02	-8.74639e-03	-2.35024e-03	1.06200e-02	-5.45865e-03	-1.82096e-02	-1.47836e-02	6.61137e-03	7.55272e-03	3.66767e-03	-2.48138e-02	1.98477e-02	-4.10521e-02
MGRB	MGRB	-1.51741e-01	-2.08870e-02	3.62092e-02	2.26999e-02	5.96938e-03	-4.57351e-03	-1.69232e-02	-4.99210e-03	4.61704e-04	-2.57277e-03	1.33979e-02	8.67622e-03	-7.08269e-03	-4.17919e-03	1.18182e-03	8.64289e-03	-3.28941e-04	3.28503e-02	-7.19460e-03	3.07956e-02
MGRB	MGRB	-1.53274e-01	-1.38742e-02	3.51303e-02	2.16363e-02	-7.58655e-03	3.05719e-03	-2.46213e-02	-1.26873e-02	-1.18212e-03	-1.99194e-03	3.88731e-03	2.10456e-02	4.24288e-03	-3.64822e-03	1.91457e-02	8.63151e-03	1.11774e-03	8.90315e-03	-1.70835e-02	1.29070e-02
MGRB	MGRB	-1.53855e-01	-2.19391e-02	3.71882e-02	1.83860e-02	-1.29594e-02	-3.07585e-03	-2.33944e-02	-9.21856e-03	-6.06444e-03	-7.85910e-03	2.36961e-03	-8.34081e-03	1.66736e-03	1.11538e-02	-1.22496e-02	-1.12504e-02	2.03509e-02	1.32202e-02	-2.05868e-02	1.69992e-03
MGRB	MGRB	-1.56889e-01	-1.30813e-02	2.77132e-02	1.51583e-02	-2.25868e-02	-2.82404e-03	-1.87196e-02	4.31236e-03	-5.52897e-03	-4.98768e-03	8.98431e-03	1.84559e-02	-1.56813e-02	6.53502e-03	2.40644e-02	-8.03462e-03	-1.79023e-02	-2.07249e-02	1.07880e-02	-1.28981e-02
MGRB	MGRB	-1.56276e-01	-1.58445e-02	3.08821e-02	2.12943e-02	-1.69949e-02	-1.41378e-02	-1.81666e-02	1.15808e-02	-1.65357e-03	-2.05573e-03	3.68241e-03	-3.41157e-02	1.73767e-02	1.61623e-03	-1.68799e-02	1.54886e-03	2.44271e-02	1.47532e-03	-3.26145e-02	3.10507e-02
MGRB	MGRB	-1.54530e-01	-2.39191e-02	2.95612e-02	2.26371e-02	-6.04194e-03	-9.01170e-03	-1.13693e-02	-6.68946e-03	-1.33498e-05	1.44514e-02	1.44990e-02	1.33067e-02	1.53223e-02	6.43408e-04	4.15369e-03	-1.53409e-02	8.62440e-03	-1.64799e-02	9.11684e-03	1.66210e-03
MGRB	MGRB	-1.51934e-01	-2.35720e-02	1.93066e-02	2.22140e-02	-2.58238e-02	-3.05693e-03	-2.73877e-02	-1.02529e-03	-2.12523e-03	5.00828e-03	-2.99004e-03	-2.98034e-02	4.85917e-03	3.52826e-03	-1.68792e-02	-2.21622e-02	6.71991e-03	1.42641e-02	4.28370e-03	-2.63814e-02
MGRB	MGRB	-1.53901e-01	-2.18872e-02	3.67060e-02	1.66036e-02	-1.67680e-02	-9.57381e-03	-2.23484e-02	-4.89901e-03	-7.92601e-03	-3.43967e-03	-2.08595e-03	7.29816e-03	2.40688e-04	1.48499e-02	1.14721e-02	-2.03639e-02	5.03316e-03	3.63309e-03	-2.75768e-02	1.16007e-02
MGRB	MGRB	-1.55036e-01	-2.20910e-02	3.46578e-02	2.30227e-02	-8.74452e-03	-5.89416e-04	-9.62325e-03	-2.51062e-04	1.69569e-02	-4.16571e-03	-1.48228e-02	7.39853e-03	-1.66658e-02	3.68222e-03	-9.32493e-03	-7.39292e-03	1.06916e-03	-1.46086e-02	8.96827e-03	-2.33593e-02
